frame_num,time_sec,brightness,contrast,visibility,curvature_m,offset_m
1136,1136,110.71,41.92,Clear,41.49,-7.983
1141,1141,111.28,31.17,Clear,30.67,1.820
1146,1146,112.14,30.36,Clear,89.27,13.608
1151,1151,111.07,33.26,Clear,63.95,7.083
1156,1156,103.11,40.30,Clear,91.26,9.636
1161,1161,114.99,30.14,Clear,52.51,4.008
1166,1166,107.46,36.12,Clear,113.64,12.062
1171,1171,103.99,42.77,Clear,57.05,4.305
1176,1176,111.77,31.13,Clear,25.60,1.633
1181,1181,113.05,32.42,Clear,234.51,-0.729
1186,1186,106.34,38.67,Clear,56.31,8.462
1191,1191,106.93,36.82,Clear,61.25,8.539
1196,1196,97.58,44.99,Clear,37.24,7.175
1201,1201,112.93,28.42,Clear,74.25,11.183
1206,1206,111.44,30.35,Clear,42.29,7.487
1211,1211,112.08,31.37,Clear,90.88,13.834
1216,1216,110.31,30.21,Clear,29.60,5.938
1221,1221,108.52,36.62,Clear,76.75,11.294
1226,1226,104.72,47.61,Clear,36.33,4.216
1231,1231,52.68,59.71,Clear,40.25,6.480
1236,1236,107.87,42.54,Clear,49.45,7.358
1241,1241,102.98,36.25,Clear,42.71,4.301
1246,1246,112.92,41.10,Clear,34.68,3.715
1251,1251,114.19,32.30,Clear,61.75,7.322
1256,1256,119.19,33.18,Clear,85.98,4.140
1261,1261,115.51,38.44,Clear,85.07,-2.090
1266,1266,121.49,27.79,Moderate Fog/Overcast,143.50,1.047
1271,1271,116.40,30.02,Clear,113.40,15.844
1276,1276,114.83,24.49,Moderate Fog/Overcast,47.45,-4.533
1281,1281,107.16,39.15,Clear,44.82,4.042
1286,1286,113.35,25.70,Moderate Fog/Overcast,50.97,4.150
1291,1291,111.94,31.50,Clear,27.06,0.816
1296,1296,113.25,32.12,Clear,33.85,6.263
1301,1301,111.54,32.39,Clear,40.13,-1.547
1306,1306,106.20,39.88,Clear,155.85,-8.773
1311,1311,102.00,46.18,Clear,217.09,13.537
1316,1316,106.76,40.09,Clear,171.97,15.128
1321,1321,103.84,49.09,Clear,102.59,12.878
1326,1326,110.05,26.89,Moderate Fog/Overcast,51.85,6.205
1331,1331,111.60,27.86,Moderate Fog/Overcast,100.61,-6.915
1336,1336,111.55,30.65,Clear,29.07,-2.877
1341,1341,116.76,27.99,Moderate Fog/Overcast,42.45,-3.937
1346,1346,115.73,26.70,Moderate Fog/Overcast,31.26,0.003
1351,1351,115.60,20.87,Moderate Fog/Overcast,41.55,4.739
1356,1356,111.75,30.26,Clear,28.49,3.412
1361,1361,115.27,23.23,Moderate Fog/Overcast,69.53,3.374
1366,1366,113.63,22.28,Moderate Fog/Overcast,71.23,1.263
1371,1371,114.69,21.68,Moderate Fog/Overcast,47.72,-4.006
1376,1376,102.64,32.86,Clear,62.03,-5.934
1381,1381,113.11,28.00,Clear,43.33,-1.543
1386,1386,113.89,21.87,Moderate Fog/Overcast,52.32,6.987
1391,1391,114.17,19.47,Moderate Fog/Overcast,40.94,-4.102
1396,1396,112.76,23.81,Moderate Fog/Overcast,233.00,-9.413
1401,1401,113.78,17.89,Moderate Fog/Overcast,51.03,-0.633
1406,1406,112.96,18.79,Moderate Fog/Overcast,25.16,-1.691
1411,1411,113.61,17.67,Moderate Fog/Overcast,25.81,-1.306
1416,1416,112.87,20.96,Moderate Fog/Overcast,35.03,-5.897
1421,1421,115.86,19.88,Moderate Fog/Overcast,39.07,-6.089
1426,1426,113.72,24.10,Moderate Fog/Overcast,46.68,5.070
1431,1431,114.18,19.51,Moderate Fog/Overcast,101.30,0.375
1436,1436,114.30,19.39,Moderate Fog/Overcast,28.07,-1.314
1441,1441,113.43,20.13,Moderate Fog/Overcast,22.19,-0.457
1446,1446,117.88,28.37,Clear,54.88,-8.434
1451,1451,115.28,14.25,Heavy Fog,43.37,2.326
1456,1456,113.24,16.74,Moderate Fog/Overcast,23.77,-0.593
1461,1461,113.59,18.60,Moderate Fog/Overcast,77.84,-8.002
1466,1466,115.49,20.42,Moderate Fog/Overcast,47.91,0.065
1471,1471,115.81,26.01,Moderate Fog/Overcast,34.17,-2.766
1476,1476,113.86,28.99,Clear,104.30,9.312
1481,1481,118.33,21.09,Moderate Fog/Overcast,111.16,9.033
1486,1486,115.89,18.78,Moderate Fog/Overcast,31.83,-2.897
1491,1491,116.46,20.93,Moderate Fog/Overcast,35.13,-1.370
1496,1496,115.17,23.00,Moderate Fog/Overcast,28.00,0.695
1501,1501,111.28,28.31,Clear,140.15,-0.456
1506,1506,115.81,28.70,Clear,55.65,-0.061
1511,1511,110.31,23.88,Moderate Fog/Overcast,172.04,-11.119
1516,1516,110.77,23.70,Moderate Fog/Overcast,162.56,1.096
1521,1521,111.02,21.93,Moderate Fog/Overcast,135.53,-7.042
1526,1526,113.60,22.42,Moderate Fog/Overcast,194.62,-11.252
1531,1531,116.26,22.33,Moderate Fog/Overcast,229.38,3.229
1536,1536,118.17,22.20,Moderate Fog/Overcast,29.42,-2.027
1541,1541,118.23,21.15,Moderate Fog/Overcast,106.54,-2.057
1546,1546,114.98,24.96,Moderate Fog/Overcast,36.29,5.378
1551,1551,111.77,25.64,Moderate Fog/Overcast,36.15,-1.162
1556,1556,109.84,24.56,Moderate Fog/Overcast,76.65,-7.038
1561,1561,110.71,25.21,Moderate Fog/Overcast,30.90,6.335
1566,1566,111.54,24.23,Moderate Fog/Overcast,261.84,-13.893
1571,1571,110.72,24.56,Moderate Fog/Overcast,179.77,-13.699
1576,1576,108.15,25.11,Moderate Fog/Overcast,188.39,-6.539
1581,1581,109.94,31.84,Clear,122.77,-0.938
1586,1586,114.54,29.35,Clear,115.76,-5.594
1591,1591,111.52,22.83,Moderate Fog/Overcast,119.47,-9.118
1596,1596,114.57,21.83,Moderate Fog/Overcast,38.31,3.510
1601,1601,115.57,23.07,Moderate Fog/Overcast,31.76,-3.646
1606,1606,115.01,25.35,Moderate Fog/Overcast,61.83,-4.463
1611,1611,109.49,35.87,Clear,134.66,13.207
1616,1616,113.78,24.67,Moderate Fog/Overcast,61.76,-3.411
1621,1621,106.94,31.30,Clear,24.01,-2.793
1626,1626,116.55,20.26,Moderate Fog/Overcast,26.88,0.529
1631,1631,130.49,31.65,Clear,52.79,-1.943
1636,1636,114.05,21.15,Moderate Fog/Overcast,24.82,-1.639
1641,1641,109.00,23.50,Moderate Fog/Overcast,140.18,-5.796
1646,1646,115.26,20.63,Moderate Fog/Overcast,72.23,-9.936
1651,1651,114.33,20.76,Moderate Fog/Overcast,29.11,-1.178
1656,1656,112.33,26.56,Moderate Fog/Overcast,169.68,-3.929
1661,1661,112.54,24.33,Moderate Fog/Overcast,40.58,-3.221
1666,1666,113.12,25.84,Moderate Fog/Overcast,49.35,-5.588
1671,1671,114.18,24.20,Moderate Fog/Overcast,52.00,4.905
1676,1676,114.59,21.81,Moderate Fog/Overcast,63.24,-7.797
1681,1681,105.75,35.58,Clear,106.36,7.409
1686,1686,113.87,23.64,Moderate Fog/Overcast,29.37,-1.304
1691,1691,111.24,26.27,Moderate Fog/Overcast,28.49,-1.767
1696,1696,113.05,32.40,Clear,58.17,6.942
1701,1701,114.76,24.11,Moderate Fog/Overcast,29.65,1.195
1706,1706,112.63,27.23,Moderate Fog/Overcast,156.91,1.475
1711,1711,113.06,24.98,Moderate Fog/Overcast,28.66,-5.124
1716,1716,114.54,21.77,Moderate Fog/Overcast,37.78,-0.066
1721,1721,114.54,23.28,Moderate Fog/Overcast,20.95,-0.900
1726,1726,115.26,19.70,Moderate Fog/Overcast,34.75,1.351
1731,1731,115.43,19.62,Moderate Fog/Overcast,37.24,-1.506
1736,1736,113.29,22.41,Moderate Fog/Overcast,33.47,2.173
1741,1741,116.07,20.79,Moderate Fog/Overcast,26.40,3.410
1746,1746,118.78,19.77,Moderate Fog/Overcast,32.83,4.669
