frame_num,time_sec,brightness,contrast,visibility,curvature_m,offset_m
1806,1806,119.49,44.12,Clear,30.52,-2.474
1811,1811,118.75,44.32,Clear,193.84,-1.300
1816,1816,118.30,44.26,Clear,925.05,-1.042
1821,1821,118.56,43.53,Clear,77.57,-0.404
1826,1826,118.78,42.48,Clear,80.87,-1.123
1831,1831,118.56,43.23,Clear,48.11,-1.283
1836,1836,114.70,46.06,Clear,36.81,1.055
1841,1841,117.43,43.33,Clear,263.95,-2.508
1846,1846,117.89,43.08,Clear,100.26,-2.106
1851,1851,117.97,42.81,Clear,125.63,-2.848
1856,1856,118.02,42.50,Clear,32.41,-0.776
1861,1861,112.82,44.64,Clear,37.89,6.404
1866,1866,117.04,40.54,Clear,43.96,0.232
1871,1871,118.98,40.48,Clear,97.35,0.928
1876,1876,119.26,40.50,Clear,66.11,0.593
1881,1881,118.76,41.15,Clear,53.32,-1.890
1886,1886,118.72,41.54,Clear,25.38,-0.622
1891,1891,118.61,41.74,Clear,112.65,-2.340
1896,1896,118.30,41.72,Clear,39.37,-1.949
1901,1901,118.08,41.83,Clear,33.53,-0.756
1906,1906,118.29,41.87,Clear,136.59,-1.034
1911,1911,118.99,40.89,Clear,42.52,-1.130
1916,1916,118.15,41.58,Clear,32.60,-0.833
1921,1921,117.65,43.75,Clear,140.53,-0.279
1926,1926,118.03,42.36,Clear,41.37,-3.012
1931,1931,117.92,41.73,Clear,148.37,-1.447
1936,1936,118.27,40.78,Clear,27.48,-4.568
1941,1941,118.51,40.09,Clear,245.34,-1.826
1946,1946,118.42,39.88,Clear,100.52,-2.058
1951,1951,118.25,40.56,Clear,180.92,-1.060
1956,1956,118.56,39.66,Clear,615.41,-1.785
1961,1961,118.41,39.82,Clear,58.16,0.658
1966,1966,117.88,39.49,Clear,30.08,-4.526
1971,1971,117.85,39.76,Clear,50.05,-2.681
1976,1976,117.85,39.55,Clear,60.31,-1.631
1981,1981,117.90,39.57,Clear,29.01,-0.630
1986,1986,117.66,39.86,Clear,36.49,0.845
1991,1991,117.34,39.55,Clear,23.34,0.816
1996,1996,117.68,38.90,Clear,42.39,0.591
2001,2001,113.26,45.93,Clear,29.70,1.354
2006,2006,116.65,39.80,Clear,29.37,-1.659
2011,2011,116.14,40.20,Clear,34.72,1.672
2016,2016,110.89,44.95,Clear,28.04,-1.240
2021,2021,114.63,39.05,Clear,28.92,-3.091
2026,2026,114.45,40.80,Clear,26.58,-0.788
2031,2031,115.61,39.67,Clear,31.66,-2.528
2036,2036,116.05,38.32,Clear,263.94,0.060
2041,2041,114.98,39.51,Clear,27.00,-0.208
2046,2046,113.34,37.97,Clear,27.95,-0.926
2051,2051,112.03,38.94,Clear,50.00,0.069
2056,2056,110.88,38.76,Clear,28.01,0.506
2061,2061,112.77,38.96,Clear,61.04,-2.706
2066,2066,111.43,39.05,Clear,560.54,-2.734
2071,2071,112.12,39.51,Clear,27.42,-3.844
2076,2076,112.79,39.19,Clear,35.88,-2.121
2081,2081,113.31,38.84,Clear,28.32,-3.576
2086,2086,112.24,38.18,Clear,27.18,-1.283
2091,2091,112.08,38.27,Clear,31.84,2.145
2096,2096,110.05,38.41,Clear,117.42,2.858
2101,2101,110.29,38.32,Clear,89.09,-0.526
2106,2106,111.70,38.43,Clear,37.52,-1.758
2111,2111,112.96,36.77,Clear,30.93,-0.316
2116,2116,111.81,37.93,Clear,588.11,-0.642
2121,2121,111.39,38.55,Clear,26.66,1.525
2126,2126,111.19,38.42,Clear,51.95,-0.461
2131,2131,111.33,38.33,Clear,31.22,-1.558
2136,2136,111.48,38.20,Clear,27.23,-0.812
2141,2141,111.67,37.84,Clear,33.32,2.601
2146,2146,111.69,38.26,Clear,42.21,0.675
2151,2151,110.84,38.18,Clear,212.53,-0.446
2156,2156,111.26,38.41,Clear,62.29,-1.875
2161,2161,110.65,38.69,Clear,65.65,-1.135
2166,2166,110.64,39.45,Clear,30.44,-1.870
2171,2171,110.53,40.09,Clear,25.82,0.285
2176,2176,110.44,39.74,Clear,26.68,0.245
2181,2181,107.74,39.99,Clear,28.18,-0.999
2186,2186,110.43,39.73,Clear,81.68,-1.211
2191,2191,110.46,40.30,Clear,29.34,-3.408
2196,2196,109.13,38.91,Clear,36.99,-0.335
2201,2201,107.06,38.81,Clear,35.61,-0.793
2206,2206,107.44,38.26,Clear,50.34,-0.500
2211,2211,107.86,37.50,Clear,28.92,0.002
2216,2216,111.92,32.57,Clear,33.59,0.635
2221,2221,107.09,37.35,Clear,502.10,-0.760
2226,2226,107.29,38.03,Clear,37.25,-0.688
2231,2231,106.17,38.23,Clear,114.28,-0.265
2236,2236,108.68,38.15,Clear,27.65,-1.403
2241,2241,107.14,36.44,Clear,125.57,0.507
2246,2246,105.50,37.38,Clear,41.03,1.193
2251,2251,105.64,38.14,Clear,174.92,-2.373
2256,2256,105.75,37.17,Clear,27.41,1.441
2261,2261,105.02,37.03,Clear,37.11,0.916
2266,2266,107.79,43.35,Clear,30.31,0.474
2271,2271,106.28,38.55,Clear,26.38,0.722
2276,2276,106.44,38.64,Clear,332.34,-0.275
2281,2281,105.80,39.15,Clear,42.34,-0.559
2286,2286,99.60,40.22,Clear,30.47,-0.886
2291,2291,117.89,39.94,Clear,80.58,0.305
2296,2296,105.19,39.36,Clear,30.34,0.446
2301,2301,113.41,40.42,Clear,33.99,1.991
2306,2306,106.20,39.38,Clear,47.79,0.306
2311,2311,106.77,39.42,Clear,45.98,1.096
2316,2316,107.60,39.74,Clear,47.02,-1.221
2321,2321,107.99,39.56,Clear,62.02,-0.842
2326,2326,108.53,39.38,Clear,186.93,-1.341
2331,2331,111.69,37.40,Clear,28.33,-1.139
2336,2336,109.03,39.44,Clear,31.78,-0.262
2341,2341,109.93,39.49,Clear,166.66,-0.899
2346,2346,110.40,38.95,Clear,27.47,-0.660
2351,2351,109.91,39.45,Clear,27.39,-0.150
2356,2356,108.70,39.21,Clear,53.40,-0.900
2361,2361,109.11,40.04,Clear,39.44,-0.286
2366,2366,112.33,38.55,Clear,29.52,2.308
2371,2371,110.32,39.59,Clear,24.59,0.799
2376,2376,109.93,41.42,Clear,421.24,-0.912
2381,2381,112.55,40.40,Clear,29.90,0.339
2386,2386,110.50,37.16,Clear,31.34,0.693
2391,2391,110.09,41.37,Clear,46.33,-1.088
2396,2396,112.28,39.68,Clear,36.23,-1.230
2401,2401,112.31,40.09,Clear,36.54,0.018
2406,2406,114.88,39.90,Clear,113.69,-0.622
2411,2411,111.87,41.81,Clear,39.36,-1.445
2416,2416,111.95,42.75,Clear,37.02,-0.375
2421,2421,111.42,43.77,Clear,77.56,-0.495
