frame_num,time_sec,brightness,contrast,visibility,curvature_m,offset_m,source_video
776,776,107.33,45.74,Clear,135.95,0.573,part1_grapevine
781,781,113.63,40.99,Clear,9999.0,-0.024,part1_grapevine
786,786,115.26,39.67,Clear,9999.0,-0.08,part1_grapevine
791,791,114.7,38.8,Clear,417.05,-0.251,part1_grapevine
796,796,114.9,39.35,Clear,90.02,-0.965,part1_grapevine
801,801,117.39,39.57,Clear,78.95,-0.037,part1_grapevine
806,806,120.17,35.94,Clear,63.0,0.189,part1_grapevine
811,811,114.93,36.64,Clear,52.32,-1.417,part1_grapevine
816,816,111.58,36.33,Clear,31.39,-1.443,part1_grapevine
821,821,113.4,33.4,Clear,42.93,-1.308,part1_grapevine
826,826,112.06,27.0,Moderate Fog/Overcast,29.53,1.304,part1_grapevine
831,831,112.84,26.49,Moderate Fog/Overcast,132.85,1.34,part1_grapevine
836,836,112.05,26.27,Moderate Fog/Overcast,26.75,2.724,part1_grapevine
841,841,104.92,38.51,Clear,41.53,4.488,part1_grapevine
846,846,116.16,31.85,Clear,35.58,-2.437,part1_grapevine
851,851,114.99,25.29,Moderate Fog/Overcast,35.87,-0.059,part1_grapevine
856,856,112.4,28.45,Clear,203.29,-0.552,part1_grapevine
861,861,109.92,33.85,Clear,31.04,-3.244,part1_grapevine
866,866,109.05,29.8,Clear,133.02,-4.842,part1_grapevine
871,871,113.12,24.4,Moderate Fog/Overcast,25.72,2.882,part1_grapevine
876,876,113.0,24.62,Moderate Fog/Overcast,54.4,2.267,part1_grapevine
881,881,114.78,23.78,Moderate Fog/Overcast,67.31,3.163,part1_grapevine
886,886,116.73,24.51,Moderate Fog/Overcast,79.69,0.861,part1_grapevine
891,891,123.6,24.94,Moderate Fog/Overcast,49.31,4.006,part1_grapevine
896,896,118.99,22.93,Moderate Fog/Overcast,27.9,0.796,part1_grapevine
901,901,119.9,24.91,Moderate Fog/Overcast,34.4,0.444,part1_grapevine
